,Repetition\File,0,1,2,3,4,5,6,7,8,9
,8,127650,120984,118119,122990,120525,122604,125350,124952,124100,126148
,9,128087,121332,118374,122914,120359,122440,125469,124925,124268,126421
,Min,127650,120960,118119,122571,120228,122440,124878,124491,123683,125848
,Max,128442,121719,118933,123041,120796,123088,125483,125310,124268,126492
,Mean,128034.6,121336,118668.65,122840.85,120451.1,122714.5,125232.4,124889.55,124013.25,126180.6
,Std. Dev.,190.531500365632,230.640070467521,221.450309265271,161.383581960235,163.156334457735,197.520018972095,163.727437175968,197.029379321434,178.686987421256,187.743498030242
,ARPD,1.75123777129642,1.74158763699176,1.89736302046214,1.76357777188681,1.91827997021593,1.66648716270515,1.84642409850198,1.95980863587751,1.75696632532493,1.70605493938612
100x5,1,258235,247053,241131,231263,244441,237117,244506,235006,252742,247215
,10,257926,247114,242079,231338,244243,237171,244325,235513,252971,247148
,11,257771,246971,241871,231183,244338,236934,244388,235704,252948,247117
,12,258292,246624,241542,231480,244383,236588,244099,235460,253052,247111
,13,257829,247232,241941,231371,244571,236974,243835,235344,252936,247217
,14,257883,246910,241655,231054,244139,237553,243721,235955,252626,247053
,15,258165,247302,241729,231064,244139,237093,244416,235786,252992,247236
,16,258278,247039,241408,231746,244521,237061,244156,235445,253003,246722
,17,258042,246888,241536,231249,244351,237052,244104,235878,252819,247375
,18,257698,247361,241587,231545,244362,236681,244315,235304,252792,247034
,19,258085,246785,241684,231221,244259,236827,244206,235660,252756,246849
,2,258505,247182,241560,231268,244549,236920,244331,235155,252675,246977
,20,257963,247049,241302,231453,244251,236458,244332,235127,253184,246886
,3,258348,246841,241970,231552,244525,236677,244221,236066,252586,247235
,4,257824,246230,241764,231603,244308,237158,244111,235303,252775,247244
,5,257660,246991,242045,231336,244128,236827,244142,235856,252489,247175
,6,257956,247489,242017,231577,244116,237156,244101,235923,252848,246990
,7,257991,247153,241863,231609,244290,237091,244534,235626,252937,247177
,8,258127,246913,242026,231264,244515,236914,244317,235604,252694,246990
,9,258169,247044,241865,231349,244184,237133,244140,235347,252785,247288
,Min,257660,246230,241131,231054,244116,236458,243721,235006,252489,246722
,Max,258505,247489,242079,231746,244571,237553,244534,236066,253184,247375
,Mean,258037.35,247008.55,241728.75,231376.25,244330.65,236969.25,244215,235553.1,252830.5,247101.95
,Std. Dev.,228.141063241237,273.968971543168,264.15622869411,188.98701570548,151.003058526013,247.98723969719,201.180463632452,301.504630321432,172.805183889105,163.370252719656
,ARPD,1.70442586702297,1.74297812395738,1.48994457972962,1.53024059959015,1.55520410326324,1.73148418449703,1.47339291724318,1.78245501840745,1.75043564699112,1.53761916502301
100x10,1,306976,282827,296197,310139,293062,278237,287458,299203,309473,300699
,10,306939,283312,295977,310442,292794,278007,286457,298704,309859,300099
,11,306605,282754,295601,309729,293091,278010,287436,300211,310080,300360
,12,306559,282608,296291,310183,293068,278357,287392,299494,310086,300101
,13,306930,283002,296096,309892,292810,278330,287615,299282,310259,300261
,14,307055,283481,296535,309506,293128,278074,286898,300095,309437,300572
,15,307046,282949,296510,309746,293148,278284,287142,299078,310305,300739
,16,307220,283030,296773,309393,293370,278741,287099,299770,310745,300596
,17,306712,282847,296747,310461,292627,277580,286694,299414,310396,300397
,18,306834,282666,296795,310043,293393,277930,287134,299634,309309,299639
,19,307474,283228,295637,309089,292666,277812,287413,300012,310527,299719
,2,307034,283085,295841,309616,293333,279061,287597,299432,309932,300114
,20,306426,281847,296487,310632,292825,278572,287292,299312,310618,300171
,3,306899,283317,296592,310014,292046,278692,287062,299109,310553,300403
,4,307126,282672,296489,309361,293418,278217,287459,300078,309962,300008
,5,306856,283419,296181,309899,292652,278366,286900,299613,309884,299263
,6,306497,283207,296037,310053,293143,279177,286401,298988,310478,300535
,7,306687,282869,295691,310516,293334,278269,286983,298735,310023,300291
,8,306796,282365,296655,310021,293064,277572,287334,299892,310271,300400
,9,306714,282164,296680,309692,293171,278767,286962,299663,310430,300628
,Min,306426,281847,295601,309089,292046,277572,286401,298704,309309,299263
,Max,307474,283481,296795,310632,293418,279177,287615,300211,310745,300739
,Mean,306869.25,282882.45,296290.6,309921.35,293007.15,278302.75,287136.4,299485.95,310131.35,300249.75
,Std. Dev.,257.349214922161,421.107996524457,393.51297711498,414.273145972176,339.301492233057,438.499219827668,349.082768047018,443.120926230254,404.259332476984,378.876715818581
,ARPD,2.484128229876,3.01881329822683,2.65412465786647,2.58729580774896,2.68702249947431,2.76413592942836,2.31157068081483,2.68148389419368,2.48075169186846,2.74432809773124
100x20,1,378181,383416,382045,385594,382181,384258,386622,396833,386980,391535
,10,377775,385196,381694,385109,382097,384671,385788,396834,387468,392272
,11,377201,384864,382506,385937,381137,384592,386078,396728,386018,392532
,12,378619,385107,382304,386093,381655,384559,386999,395732,386670,391229
,13,377972,384934,382029,386384,380487,384352,385467,397760,387740,391664
,14,378081,384316,381462,385929,381278,384931,386098,396032,387273,391571
,15,378193,385044,382188,386087,381445,384285,386703,396990,387114,392103
,16,378115,384922,381743,385384,381969,383656,386786,396903,387476,390678
,17,378312,385237,381809,385129,380991,383993,386156,396588,387348,391425
,18,377269,385583,382030,384776,381939,384337,385881,396691,386630,390560
,19,377606,385618,380740,385668,381158,383683,384941,396128,387565,391792
,2,377794,384901,381069,386630,380401,383294,386357,397568,385460,391500
,20,377072,384654,381626,384557,381705,384618,384370,396216,387826,390852
,3,378788,384980,382133,384506,381982,384538,384538,396582,387144,392434
,4,379056,383450,382145,385164,382288,383702,386608,397409,386462,391614
,5,377626,385496,382041,385676,381717,385017,385564,396938,386907,391416
,6,378083,385772,381696,385550,381820,385015,385895,396739,387053,392245
