,,0,1,2,3,4,5,6,7,8,9
,15,1863090,1918030,1893591,1870424,1850313,1875166,1890286,1864947,1880855,1849468
,16,1864165,1915320,1893591,1868367,1841336,1869022,1888376,1867193,1882041,1853351
,17,1864402,1903678,1891558,1865681,1853917,1873478,1894527,1867624,1873523,1857935
,18,1858527,1914278,1891558,1873314,1843705,1883615,1901625,1866177,1882041,1860313
,19,1860661,1915320,1887637,1867315,1858636,1878907,1889959,1862186,1871412,1850934
,2,1864253,1913219,1888288,1868770,1847916,1871266,1888192,1866667,1882782,1845996
,20,1862166,1905397,1894850,1865455,1851474,1873257,1890015,1869067,1880874,1850413
,3,1862029,1908799,1888735,1865896,1850816,1871413,1894492,1865518,1873973,1851973
,4,1863392,1908799,1892982,1870935,1854235,1876018,1894492,1872869,1884333,1845996
,5,1864788,1916959,1888735,1864279,1858004,1870328,1899313,1864808,1878410,1858996
,6,1857210,1908251,1898773,1880019,1855108,1881405,1901480,1862358,1880759,1858227
,7,1856625,1910263,1893181,1880019,1843705,1877084,1898498,1875647,1873973,1864233
,8,1856546,1920300,1888852,1865221,1848365,1871413,1891996,1874067,1884333,1864233
,9,1860280,1908343,1896578,1868770,1850816,1872627,1898260,1866177,1875325,1850490
,Min,1850851,1903678,1886670,1862538,1841336,1869022,1888192,1860016,1869203,1845996
,Max,1864788,1920300,1898773,1880019,1858636,1883615,1901625,1875647,1884333,1864233
,Mean,1860514.85,1911598.5,1891349.35,1868715.25,1850766.7,1875509.3,1894831.7,1867021.9,1878256.8,1854047.25
,Std. Dev,3868.05526106228,4864.76459645761,3294.98911866265,4618.51201687297,5178.20043014336,4187.55229472452,4285.07814950538,4066.92550240415,4880.63972942288,5377.0069435563
,ARPD,0.706038146200942,1.01007512352819,0.614606584969858,0.895251099542474,0.763289663737031,0.857583667551821,0.993808716193384,0.867597029222086,0.981874135077855,0.89322786432329
300x10,1,2264908,2240868,2255537,2228150,2270098,2278019,2263598,2218775,2263515,2255036
,10,2261164,2238795,2255825,2230672,2271023,2273703,2261670,2223871,2262534,2253833
,11,2254428,2238157,2255201,2230389,2271805,2276231,2262630,2220542,2265207,2255101
,12,2254583,2238795,2258297,2230794,2272652,2278350,2258000,2223871,2267477,2253612
,13,2255333,2238157,2259593,2231089,2272392,2276571,2263774,2221892,2262639,2254324
,14,2251780,2239734,2254615,2228604,2271023,2278211,2266368,2220202,2262824,2253833
,15,2258558,2242320,2255957,2229548,2277455,2276571,2263774,2222434,2264514,2251658
,16,2251780,2236514,2259956,2227219,2265952,2271566,2256117,2225787,2267477,2252446
,17,2262614,2239797,2257699,2228604,2273191,2278211,2258867,2223225,2267477,2251553
,18,2262057,2242415,2257438,2230672,2274230,2273703,2261367,2215727,2263022,2249814
,19,2254360,2238809,2256395,2227948,2276027,2276571,2261283,2221574,2267477,2254704
,2,2264908,2241307,2255537,2227007,2267146,2271241,2265282,2218204,2259859,2249814
,20,2260672,2235429,2254615,2228307,2269731,2278751,2260000,2221666,2263117,2252554
,3,2263111,2238758,2256287,2226053,2271805,2278177,2255633,2220602,2262904,2251430
,4,2251273,2235535,2262236,2229932,2271736,2278457,2257511,2223592,2264713,2255433
,5,2255467,2240392,2258165,2226053,2268166,2280371,2265963,2221566,2258816,2252846
,6,2256442,2241783,2262236,2228693,2271736,2282930,2263924,2222457,2263493,2252975
,7,2255333,2239768,2255239,2228984,2276356,2276571,2265282,2223197,2269780,2252846
,8,2256458,2241378,2255239,2228195,2272542,2278029,2255633,2221484,2259859,2249814
,9,2255194,2235940,2255201,2228842,2276356,2278211,2266368,2220998,2263702,2251553
,Min,2251273,2235429,2254615,2226053,2265952,2271241,2255633,2215727,2258816,2249814
,Max,2264908,2242415,2262236,2231089,2277455,2282930,2266368,2225787,2269780,2255433
